vigencia,ato,ano_ato,item,UF,QAV,AEHC,GNV,GNI,OLEO_LITRO,OLEO_KG,fonte_dou
2026-01-16,1,2026,18,PR,-,"4,3006","4,7805",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,19,RJ,"2,4456","*4,6900","*4,4000",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,20,RN,-,"4,4500","5,0400",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,21,RO,-,"5,0870",-,-,"4,0864",-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,22,RR,"6,8560","5,1850",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,23,RS,-,"4,6644","4,8683",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,24,SC,-,"4,6855","4,9120",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,25,SE,"4,5990","4,8260","4,6820",-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,26,SP,-,"4,2100",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-01-16,1,2026,27,TO,"6,4500","4,8200",-,-,-,-,DOU 09/01/2026 ed.6 s.1 p.36
2026-02-01,2,2026,1,AC,-,"*5,2254",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,2,AL,"3,4910","**5,1155","*4,5764",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,3,AM,-,"**5,4413","*3,1594","**1,7773",-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,4,AP,-,"5,7900",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,5,BA,-,"4,5900","3,6940",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,6,CE,-,"**4,9850","5,1334",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,7,DF,-,"*4,9400","6,7800",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,8,ES,-,"*4,7358","*4,1765",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,9,GO,-,"*4,7342",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,10,MA,-,"*4,7600",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,11,MG,"**5,1154","*4,6965","4,8983",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,12,MS,"**4,4294","*4,2920","**4,5111",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,13,MT,"6,4170","4,3835","4,0497","3,6700",-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,14,PA,-,"4,8124",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,15,PB,"**4,1141","*4,3679","**4,9247",-,"4,9389","4,9389",DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,16,PE,-,"*4,9200",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,17,PI,"5,6800","4,6400",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,18,PR,-,"4,3006","4,7805",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,19,RJ,"2,4456","*4,8400","**4,3900",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,20,RN,-,"4,4500","5,0400",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,21,RO,-,"5,0870",-,-,"4,0864",-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,22,RR,"*6,9930","5,1850",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,23,RS,-,"*4,7831","*4,8831",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,24,SC,-,"4,6855","4,9120",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,25,SE,"**4,5760","**4,8180","**4,6710",-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,26,SP,-,"*4,3200",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-02-01,2,2026,27,TO,"6,4500","4,8200",-,-,-,-,DOU 23/01/2026 ed.16 s.1 p.25
2026-03-01,5,2026,1,AC,-,"**5,2225",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,2,AL,"3,4910","5,1155","4,5764",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,3,AM,-,"*5,4338","**3,1366","*1,8257",-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,4,AP,-,"*5,8900",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,5,BA,-,"4,5900","3,6940",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,6,CE,-,"4,9850","5,1334",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,7,DF,-,"*5,1200","6,7800",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,8,ES,-,"*4,8470","**4,1290",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,9,GO,-,"4,7342",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,10,MA,-,"4,8300",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,11,MG,"**4,9396","4,6965","*4,9914",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,12,MS,"**4,3804","*4,3824","*4,5564",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,13,MT,"**6,2129","*4,5393","4,0497","3,6700",-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,14,PA,-,"4,8263",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,15,PB,"**3,9388","*4,4630","*4,9251",-,"4,9389","4,9389",DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,16,PE,-,"4,9200",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,17,PI,"5,6800","4,6400",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,18,PR,-,"4,3006","4,7805",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,19,RJ,"2,4456","*4,9700","**4,2200",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,20,RN,-,"*5,5200","5,0400",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,21,RO,-,"5,0870",-,-,"4,0864",-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,22,RR,"6,9930","5,1850",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,23,RS,-,"*4,8996","*4,8951",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,24,SC,-,"4,6855","4,9120",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,25,SE,"*4,5880","*4,8740","**4,6080",-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,26,SP,-,"*4,4600",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-03-01,5,2026,27,TO,"*6,6300","*5,2300",-,-,-,-,DOU 25/02/2026 ed.37 s.1 p.42
2026-08-01,20,2026,1,AC,-,"**5,0538",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,2,AL,"3,4910","5,1155","4,5764",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,3,AM,-,"*5,1350","*3,3321","**1,8306",-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,4,AP,-,"**5,8100",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,5,BA,-,"4,5900","3,6940",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,6,CE,-,"4,9850","5,1334",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,7,DF,-,"*3,9700","6,7800",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,8,ES,-,"**4,8022","*4,3476",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,9,GO,-,"**3,9831",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,10,MA,-,"**5,0700",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,11,MG,"**7,0586","**4,3584","5,1343",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,12,MS,"**6,4970","**3,9977","*4,5715",-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,13,MT,"**8,7856","**3,7943","4,0497","3,6700",-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,14,PA,-,"**4,7533",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,15,PB,"**5,3900","*4,7728","*4,9569",-,"4,9389","4,9389",DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,16,PE,-,"**5,1100",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
2026-08-01,20,2026,17,PI,"5,6800","4,6400",-,-,-,-,DOU 24/07/2026 ed.138 s.1 p.39
